model_type,model,goal_type,game_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
PDDL,o3-mini-2025-01-31,subgoal,clean,0,73.0,73.0,22,2,0.0,20,,3.05,20
PDDL,o3-mini-2025-01-31,subgoal,cool,0,112.0,109.0,22,2,3.0,20,,5.2,20
PDDL,o3-mini-2025-01-31,subgoal,heat,0,101.0,101.0,25,5,0.0,20,,3.3,20
PDDL,o3-mini-2025-01-31,subgoal,slice+,0,90.0,85.0,21,4,5.0,17,,4.2,20
baseline,deepseek,detailed,basic&use,12,,,25,21,,4,6.833333333333333,16.75,20
baseline,deepseek,detailed,clean,3,,,26,23,,3,16.333333333333332,20.0,20
baseline,deepseek,detailed,cool,0,,,9,8,,1,,20.0,20
baseline,deepseek,detailed,heat,2,,,16,13,,3,8.5,19.0,20
baseline,deepseek,detailed,slice+,0,,,21,18,,3,,18.95,20
baseline,gpt-4.1-2025-04-14,detailed,basic&use,3,,,41,32,,9,11.0,13.411764705882353,20
baseline,gpt-4.1-2025-04-14,detailed,clean,1,,,28,25,,3,17.0,20.0,20
baseline,gpt-4.1-2025-04-14,detailed,cool,0,,,10,8,,2,,19.65,20
baseline,gpt-4.1-2025-04-14,detailed,heat,1,,,19,17,,2,19.0,19.0,20
baseline,gpt-4.1-2025-04-14,detailed,slice+,0,,,14,11,,3,,20.0,20
baseline,gpt-4o-2024-05-13,detailed,basic&use,3,,,56,44,,12,6.666666666666667,14.647058823529411,20
baseline,gpt-4o-2024-05-13,detailed,clean,0,,,29,23,,6,,19.0,20
baseline,gpt-4o-2024-05-13,detailed,cool,0,,,6,6,,0,,20.0,20
baseline,gpt-4o-2024-05-13,detailed,heat,1,,,13,12,,1,8.0,19.68421052631579,20
baseline,gpt-4o-2024-05-13,detailed,slice+,0,,,18,15,,3,,18.7,20
baseline,o3-mini-2025-01-31,detailed,basic&use,5,,,20,5,,15,5.0,2.6,20
baseline,o3-mini-2025-01-31,detailed,clean,0,,,51,38,,13,,13.4,20
baseline,o3-mini-2025-01-31,detailed,cool,0,,,33,23,,10,,12.85,20
baseline,o3-mini-2025-01-31,detailed,heat,0,,,56,48,,8,,15.2,20
baseline,o3-mini-2025-01-31,detailed,slice+,0,,,52,40,,12,,13.75,20
non_error_fixing,deepseek,detailed,basic&use,2,,,,,,,1.5,4.111111111111111,20
non_error_fixing,deepseek,detailed,clean,0,,,,,,,,5.6,20
non_error_fixing,deepseek,detailed,cool,0,,,,,,,,5.85,20
non_error_fixing,deepseek,detailed,heat,2,,,,,,,1.0,4.722222222222222,20
non_error_fixing,deepseek,detailed,slice+,0,,,,,,,,5.3,20
non_error_fixing,deepseek,subgoal,basic&use,0,,,,,,,,1.5,20
non_error_fixing,deepseek,subgoal,clean,0,,,,,,,,1.0,20
non_error_fixing,deepseek,subgoal,cool,0,,,,,,,,1.0,20
non_error_fixing,deepseek,subgoal,heat,0,,,,,,,,1.0,20
non_error_fixing,deepseek,subgoal,slice+,0,,,,,,,,1.0,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,basic&use,1,,,,,,,17.0,15.368421052631579,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,clean,0,,,,,,,,21.5,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,cool,0,,,,,,,,33.55,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,heat,0,,,,,,,,19.5,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,slice+,0,,,,,,,,31.35,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,basic&use,0,,,,,,,,1.3,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,clean,0,,,,,,,,1.4,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,cool,0,,,,,,,,1.2,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,heat,0,,,,,,,,1.05,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,slice+,0,,,,,,,,1.2,20
non_error_fixing,gpt-4o-2024-05-13,detailed,basic&use,0,,,,,,,,7.5,20
non_error_fixing,gpt-4o-2024-05-13,detailed,clean,0,,,,,,,,2.55,20
non_error_fixing,gpt-4o-2024-05-13,detailed,cool,0,,,,,,,,6.2,20
non_error_fixing,gpt-4o-2024-05-13,detailed,heat,0,,,,,,,,4.7,20
non_error_fixing,gpt-4o-2024-05-13,detailed,slice+,0,,,,,,,,3.55,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,basic&use,0,,,,,,,,1.2,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,clean,0,,,,,,,,1.1578947368421053,19
non_error_fixing,gpt-4o-2024-05-13,subgoal,cool,0,,,,,,,,1.2,20
non_error_fixing,gpt-4o-2024-05-13,subgoal,heat,0,,,,,,,,1.0526315789473684,19
non_error_fixing,gpt-4o-2024-05-13,subgoal,slice+,0,,,,,,,,1.05,20
non_error_fixing,o3-mini-2025-01-31,detailed,basic&use,3,,,,,,,2.0,8.529411764705882,20
non_error_fixing,o3-mini-2025-01-31,detailed,clean,0,,,,,,,,19.3,20
non_error_fixing,o3-mini-2025-01-31,detailed,cool,0,,,,,,,,30.85,20
non_error_fixing,o3-mini-2025-01-31,detailed,heat,0,,,,,,,,20.75,20
non_error_fixing,o3-mini-2025-01-31,detailed,slice+,0,,,,,,,,28.25,20
non_error_fixing,o3-mini-2025-01-31,subgoal,basic&use,0,,,,,,,,3.0,20
non_error_fixing,o3-mini-2025-01-31,subgoal,clean,0,,,,,,,,3.05,20
non_error_fixing,o3-mini-2025-01-31,subgoal,cool,0,,,,,,,,5.2,20
non_error_fixing,o3-mini-2025-01-31,subgoal,heat,0,,,,,,,,3.3,20
non_error_fixing,o3-mini-2025-01-31,subgoal,slice+,0,,,,,,,,4.2,20
